Subject	Consent	Sex
HG01598	1	female
HG02397	1	male
HG03118	1	male
HG03120	1	male
HG01606	1	male
HG02304	1	male
HG01613	1	female
HG02309	1	female
HG03175	1	male
HG01618	1	female
HG02429	1	male
HG01620	1	female
HG03199	1	male
HG01524	1	male
HG03202	1	male
HG01531	1	female
HG02594	1	male
HG03132	1	female
HG01536	1	male
HG03055	1	female
HG02479	1	female
HG01435	1	female
HG02481	1	male
HG03238	1	female
HG01512	1	male
HG02493	1	male
HG03240	1	male
HG02568	1	female
HG03461	1	female
HG02570	1	male
HG03473	1	female
HG02582	1	male
HG03442	1	male
HG01815	1	female
HG02501	1	male
HG01841	1	female
HG02513	1	female
HG01846	1	male
HG02537	1	female
HG03271	1	male
HG01694	1	male
HG02549	1	female
HG01699	1	male
HG01702	1	female
HG02676	1	female
HG02614	1	female
HG03295	1	male
HG01771	1	male
HG02621	1	female
HG03303	1	female
HG01776	1	female
HG02652	1	female
HG01625	1	male
HG02657	1	male
HG03372	1	female
HG01632	1	female
HG02645	1	male
HG01668	1	female
HG02715	1	male
HG03428	1	female
HG01783	1	male
HG02722	1	female
HG01790	1	female
HG02727	1	male
HG03391	1	male
HG01853	1	female
HG02789	1	male
HG03649	1	male
HG01858	1	female
HG01860	1	male
HG02804	1	male
HG01865	1	male
HG02688	1	female
HG03663	1	male
HG01670	1	female
HG02690	1	male
HG03668	1	female
HG01675	1	male
HG02703	1	female
HG03478	1	male
HG01682	1	male
HG02734	1	female
HG01795	1	female
HG03485	1	female
HG01808	1	female
HG02760	1	female
HG03593	1	male
HG01810	1	male
HG02772	1	female
HG03598	1	female
HG01707	1	female
HG02784	1	female
HG01757	1	female
HG02878	1	male
HG01997	1	female
HG02003	1	female
HG02885	1	female
HG03625	1	female
HG02008	1	male
HG03567	1	female
HG02010	1	female
HG02811	1	female
HG02816	1	male
HG02854	1	male
HG01889	1	female
HG02861	1	female
HG03517	1	female
HG01896	1	female
HG03687	1	male
HG01947	1	male
HG03644	1	male
HG01954	1	female
HG03066	1	male
HG03548	1	female
HG03073	1	female
HG01980	1	female
HG03078	1	male
HG03714	1	female
HG01985	1	female
HG01992	1	female
HG03085	1	female
HG03097	1	female
HG01935	1	male
HG03100	1	male
HG03788	1	male
HG01942	1	female
HG03105	1	female
HG03790	1	male
HG01961	1	male
HG02943	1	female
HG01973	1	female
HG03694	1	male
HG03124	1	male
HG03129	1	female
HG03702	1	male
HG01923	1	male
HG03136	1	male
HG03846	1	male
HG01872	1	male
HG03028	1	female
HG03771	1	male
HG02084	1	female
HG03803	1	male
HG02089	1	female
HG03009	1	male
HG03808	1	female
HG03016	1	female
HG03815	1	male
HG02142	1	female
HG02147	1	female
HG02974	1	female
HG03733	1	female
HG02154	1	female
HG02979	1	female
HG03738	1	male
HG02104	1	male
HG02981	1	male
HG03740	1	male
HG02111	1	female
HG03054	1	male
HG03745	1	male
HG02116	1	male
HG03752	1	female
HG02231	1	male
HG03061	1	female
HG03757	1	female
HG02236	1	male
HG03112	1	male
HG02250	1	male
HG03117	1	female
HG04003	1	male
HG02166	1	female
HG03294	1	female
HG04015	1	male
HG04022	1	male
HG02178	1	female
HG02180	1	female
HG03911	1	male
HG02185	1	female
HG03369	1	female
HG03916	1	female
HG02128	1	male
HG03928	1	female
HG02130	1	female
HG03376	1	male
HG03225	1	male
HG02058	1	male
HG03237	1	male
HG03896	1	male
HG02060	1	female
HG02072	1	female
HG03388	1	male
HG03973	1	female
HG03978	1	male
HG02053	1	male
HG03268	1	male
HG03985	1	male
HG03270	1	female
HG03872	1	male
HG02224	1	male
HG03884	1	female
HG03352	1	male
HG03858	1	female
HG02445	1	male
HG03193	1	male
HG04039	1	male
HG02464	1	male
HG03198	1	female
HG03947	1	female
HG02471	1	female
HG03162	1	female
NA06985	2	female
HG02476	1	female
HG02274	1	male
HG02281	1	male
HG04212	1	female
HG02286	1	female
HG03624	1	male
HG02318	1	female
HG03629	1	male
HG04229	1	male
HG02325	1	female
HG03631	1	female
HG02332	1	male
HG03446	1	female
HG02337	1	female
HG03458	1	female
HG04200	1	female
HG03460	1	male
HG02298	1	female
HG03484	1	male
HG02301	1	female
HG02255	1	male
HG03491	1	female
HG04159	1	female
HG02262	1	male
HG03547	1	male
HG04161	1	male
HG03559	1	male
HG04173	1	male
HG02375	1	male
HG02382	1	male
HG03410	1	female
HG02351	1	male
HG03439	1	male
HG02356	1	male
HG03578	1	female
HG04180	1	female
HG03585	1	male
HG04185	1	male
HG02407	1	male
HG02419	1	female
HG03472	1	male
HG02433	1	male
HG04060	1	male
HG02394	1	male
HG03600	1	male
HG04096	1	male
HG02399	1	male
NA12761	2	female
HG02402	1	male
HG03511	1	female
HG02654	1	male
NA12778	2	female
HG03693	1	male
NA12812	2	male
HG02661	1	female
HG03698	1	female
HG02666	1	male
HG02628	1	male
HG03706	1	female
NA12348	2	female
HG03744	1	male
HG02635	1	female
HG03756	1	female
NA12413	2	male
HG02642	1	male
NA12716	2	male
HG03679	1	male
NA12829	2	male
HG02604	1	female
HG03681	1	male
NA12843	2	female
HG02611	1	female
HG03686	1	male
NA12874	2	male
HG02623	1	male
HG03770	1	female
HG02678	1	male
HG03775	1	male
HG03782	1	female
HG02685	1	female
HG03713	1	male
NA18505	2	female
HG03718	1	male
NA18517	2	female
HG02577	1	female
HG03720	1	male
HG03636	1	male
NA12273	2	female
HG02508	1	female
HG03643	1	female
HG02522	1	female
HG03787	1	female
HG02541	1	male
HG02546	1	female
HG02558	1	female
HG03667	1	male
NA11840	2	female
HG02589	1	female
NA10847	2	female
HG02490	1	male
HG03871	1	male
NA12045	2	male
HG03888	1	female
HG02724	1	male
HG03890	1	male
NA18531	2	female
HG03833	1	male
NA18536	2	male
HG02731	1	female
HG03838	1	female
NA18543	2	male
HG02786	1	male
NA18877	2	male
HG02793	1	female
NA18909	2	female
HG02798	1	male
HG03910	1	female
HG02820	1	female
NA18916	2	female
HG02837	1	female
HG03922	1	female
NA18923	2	male
HG02851	1	male
HG03895	1	female
NA18740	2	male
NA18745	2	male
HG02697	1	female
HG03908	1	male
NA18757	2	male
HG02700	1	female
HG03814	1	female
HG02870	1	female
HG03821	1	male
NA18853	2	male
HG02882	1	female
HG03826	1	female
NA18548	2	male
HG02887	1	male
NA18550	2	female
HG03802	1	female
NA18555	2	female
HG02813	1	male
NA18562	2	male
HG03934	1	female
NA18567	2	female
HG02736	1	male
NA18858	2	female
HG03941	1	male
HG02774	1	male
HG03953	1	male
NA18865	2	male
HG03960	1	male
HG03965	1	male
NA18574	2	female
HG02938	1	male
HG03857	1	female
NA18579	2	female
HG02971	1	male
HG03864	1	male
NA18593	2	female
HG02976	1	female
HG03869	1	male
NA18606	2	male
HG02983	1	female
HG04090	1	female
HG03006	1	male
NA18942	2	female
NA18947	2	female
HG02952	1	female
NA18613	2	male
HG04026	1	female
NA18618	2	female
HG04033	1	male
NA18620	2	male
HG03018	1	male
HG04038	1	female
NA18625	2	female
HG03025	1	female
NA18632	2	male
HG03114	1	female
HG04177	1	female
NA18637	2	male
NA18644	2	female
HG03121	1	female
HG04189	1	female
NA18954	2	female
NA18959	2	male
HG03063	1	male
NA18961	2	male
HG03126	1	female
HG04209	1	female
NA18966	2	male
HG03133	1	male
HG04211	1	male
HG03099	1	female
HG04134	1	male
NA19147	2	female
HG04141	1	female
HG03049	1	female
HG04146	1	male
NA19159	2	female
HG03082	1	female
HG04153	1	female
HG04158	1	male
HG03241	1	female
HG03246	1	male
HG03258	1	male
HG03977	1	female
NA19116	2	female
HG03989	1	female
HG03354	1	female
HG03991	1	male
HG04002	1	male
NA19130	2	male
HG03366	1	female
HG04014	1	female
NA19084	2	female
HG04019	1	male
NA19089	2	male
HG04076	1	female
NA19091	2	male
HG03157	1	male
NA11919	2	male
NA19096	2	male
NA11933	2	female
HG03169	1	male
NA11995	2	female
NA19058	2	male
HG03378	1	female
NA12006	2	female
NA19060	2	male
HG03380	1	female
NA12044	2	female
NA19065	2	female
HG03385	1	male
NA19027	2	male
HG03397	1	male
NA19041	2	male
NA12234	2	female
NA18985	2	male
NA18992	2	female
HG03190	1	male
NA12272	2	male
NA18997	2	female
HG03195	1	female
NA18973	2	female
HG03265	1	male
NA12342	2	male
NA18978	2	female
NA06984	2	male
NA18980	2	female
HG03291	1	female
NA06989	2	female
NA19003	2	female
NA19010	2	female
HG03311	1	male
NA19072	2	male
HG03342	1	female
NA19077	2	female
HG03234	1	male
NA19185	2	female
NA11832	2	female
NA19197	2	female
HG03304	1	male
NA19200	2	male
HG03607	1	female
NA11894	2	female
HG03619	1	female
NA12760	2	male
NA19236	2	male
NA12777	2	male
NA12828	2	female
NA19394	2	male
NA12347	2	male
NA19399	2	female
NA12400	2	female
NA19248	2	male
HG03518	1	male
HG03520	1	female
NA19445	2	female
HG04216	1	female
NA19452	2	male
HG03594	1	male
NA19457	2	female
HG04235	1	male
NA19471	2	female
NA19318	2	male
HG03556	1	male
NA19320	2	female
HG03563	1	female
NA19332	2	female
HG03575	1	female
NA19438	2	female
NA12830	2	female
NA19440	2	female
HG03479	1	female
NA12842	2	male
NA19351	2	female
NA12873	2	female
NA19375	2	male
NA12878	2	female
NA19678	2	female
HG03455	1	female
HG03436	1	male
NA18489	2	female
NA19700	2	male
NA18504	2	male
NA19712	2	female
HG03708	1	male
NA18511	2	female
NA18516	2	male
NA19818	2	male
NA18523	2	female
HG03722	1	female
NA19914	2	female
HG03746	1	male
NA18864	2	female
NA19717	2	male
HG03753	1	male
HG03760	1	female
NA18871	2	male
NA19729	2	male
HG03765	1	female
NA18876	2	female
NA19731	2	female
NA18648	2	male
HG03640	1	female
NA18749	2	male
NA19750	2	male
HG03645	1	female
NA19755	2	female
HG03784	1	female
NA19762	2	male
HG03789	1	female
NA18547	2	female
NA19774	2	male
HG03796	1	female
NA18559	2	male
NA19779	2	female
NA18561	2	male
NA18566	2	female
NA19786	2	male
HG03690	1	female
NA18573	2	female
NA19654	2	female
HG03652	1	male
NA18592	2	female
NA18597	2	female
NA19661	2	male
NA18605	2	male
NA20276	2	female
HG03695	1	male
NA18629	2	male
HG03703	1	female
NA18631	2	female
HG03727	1	male
NA18636	2	male
HG03741	1	female
NA18643	2	male
HG03772	1	female
NA18528	2	female
NA19921	2	female
HG03777	1	male
NA18530	2	male
NA18535	2	female
HG03950	1	male
NA18542	2	female
NA20536	2	male
HG03955	1	female
NA18612	2	male
NA20543	2	male
HG03967	1	male
NA18617	2	female
NA20581	2	male
NA18624	2	male
NA20586	2	male
HG03931	1	female
NA18908	2	male
NA20752	2	male
HG03943	1	male
NA18910	2	male
NA20757	2	female
HG03897	1	female
NA18915	2	male
NA20764	2	female
HG03900	1	male
NA18934	2	male
NA20769	2	female
HG03905	1	male
NA19002	2	female
NA20771	2	female
NA19007	2	male
NA20783	2	male
HG03823	1	female
NA19019	2	female
NA20790	2	female
HG03830	1	male
NA18953	2	male
NA20795	2	female
NA18960	2	male
NA20803	2	male
HG03809	1	male
NA18965	2	male
NA20808	2	female
NA18939	2	female
NA20810	2	male
HG03873	1	female
NA18941	2	female
NA20815	2	male
HG03885	1	male
NA18946	2	female
NA20822	2	female
HG03854	1	male
NA18984	2	male
NA20827	2	male
HG03861	1	female
NA18989	2	male
NA20334	2	female
HG03866	1	male
NA18991	2	female
NA20339	2	female
HG03917	1	male
NA18972	2	female
NA18977	2	male
NA20346	2	male
NA19076	2	male
NA20512	2	male
NA19083	2	male
NA20517	2	female
NA19057	2	female
NA20524	2	male
NA19064	2	female
NA20529	2	female
HG04198	1	male
NA19026	2	male
NA20531	2	female
HG04206	1	male
NA19038	2	female
HG04023	1	male
NA19172	2	female
HG04035	1	female
NA20505	2	female
HG04042	1	female
NA19184	2	male
NA20877	2	female
HG04047	1	female
NA19189	2	male
NA20884	2	male
NA20889	2	male
HG04155	1	male
NA20891	2	male
HG04162	1	female
NA20846	2	male
HG04131	1	male
NA19141	2	male
NA20853	2	female
NA19146	2	male
NA20858	2	male
NA19153	2	male
NA20872	2	female
NA19160	2	male
NA21128	2	male
NA19204	2	female
NA21130	2	male
HG04186	1	female
NA19209	2	female
NA21135	2	male
HG04054	1	female
NA21142	2	female
HG04059	1	female
NA19223	2	male
HG04061	1	male
NA19235	2	female
HG04080	1	male
NA19088	2	male
NA20911	2	male
HG03974	1	male
NA19090	2	female
NA21089	2	female
HG03986	1	female
NA19095	2	female
NA21091	2	male
HG04100	1	male
HG03998	1	male
NA19350	2	male
NA19355	2	female
NA19374	2	male
NA12399	2	male
NA19379	2	female
NA12414	2	female
NA12546	2	male
NA19108	2	female
NA12717	2	female
NA12748	2	male
NA21104	2	male
NA12750	2	male
NA21109	2	male
NA12762	2	male
NA19247	2	female
NA21111	2	male
NA19312	2	male
NA12813	2	female
NA19317	2	male
NA19324	2	female
NA11930	2	male
NA19331	2	male
NA11992	2	male
NA19393	2	male
NA12003	2	male
NA20896	2	female
NA12046	2	female
NA19401	2	female
NA20904	2	male
NA12058	2	female
NA21116	2	male
NA19747	2	male
NA21123	2	male
NA07357	2	male
NA19759	2	male
NA19761	2	female
NA12154	2	male
NA19658	2	male
NA12286	2	male
NA06986	2	male
NA19773	2	female
NA19780	2	male
NA19785	2	female
NA19792	2	male
NA19684	2	female
NA19704	2	female
HG04225	1	male
NA19711	2	male
NA18498	2	male
NA19716	2	female
NA18501	2	male
NA19468	2	female
NA19475	2	female
NA18520	2	female
NA18486	2	male
NA19901	2	female
NA18570	2	female
NA19913	2	female
NA18582	2	female
NA19723	2	male
NA18599	2	female
NA19728	2	female
NA18602	2	female
NA18614	2	female
NA19735	2	male
NA18619	2	female
NA18621	2	male
NA19437	2	female
NA18626	2	female
NA18633	2	male
NA19449	2	female
NA18638	2	male
NA19451	2	male
NA18640	2	female
NA19456	2	female
NA18645	2	male
NA19463	2	female
NA20802	2	female
NA18861	2	female
NA20807	2	female
NA18873	2	female
NA20814	2	male
NA18525	2	female
NA20819	2	female
NA18532	2	female
NA20821	2	female
NA18537	2	female
NA20826	2	female
NA18544	2	male
NA20763	2	male
NA18549	2	male
NA20768	2	female
NA18563	2	male
NA20770	2	male
NA20775	2	female
NA20787	2	male
NA18878	2	female
NA20799	2	female
NA18912	2	female
NA20509	2	male
NA18917	2	male
NA20511	2	male
NA18924	2	female
NA20516	2	male
NA19023	2	female
NA20528	2	male
NA19028	2	male
NA20530	2	female
NA19030	2	female
NA20535	2	female
NA19035	2	male
NA20299	2	female
NA19042	2	female
NA19054	2	female
NA20314	2	female
NA19059	2	female
NA19066	2	male
NA20321	2	female
NA18998	2	female
NA20357	2	female
NA19004	2	male
NA19009	2	male
NA20504	2	female
NA19011	2	female
NA18974	2	male
NA19920	2	male
NA18979	2	female
NA19982	2	male
NA18981	2	female
NA18943	2	male
NA20282	2	female
NA18948	2	male
NA20287	2	female
NA18950	2	female
NA20294	2	female
NA18962	2	male
NA20340	2	male
NA18967	2	male
NA19078	2	female
NA20542	2	female
NA19080	2	female
NA20585	2	female
NA18986	2	male
NA20756	2	female
NA18993	2	female
NA20908	2	female
NA19085	2	male
NA20910	2	female
NA19092	2	male
NA21088	2	female
NA21090	2	male
NA21095	2	male
NA20864	2	male
NA19117	2	male
NA20869	2	female
NA19129	2	female
NA19131	2	female
NA20876	2	female
NA21127	2	male
NA19256	2	male
NA19307	2	male
NA21141	2	female
NA19314	2	female
NA20895	2	male
NA20903	2	male
NA19198	2	male
NA20888	2	female
NA19201	2	female
NA20890	2	male
NA19206	2	female
NA21103	2	female
NA19213	2	male
NA21108	2	female
NA19225	2	female
NA21110	2	female
NA19143	2	female
NA20845	2	male
NA19383	2	male
NA20852	2	male
NA19390	2	female
NA21115	2	male
NA19395	2	female
NA21122	2	female
NA19403	2	female
NA19376	2	male
NA19319	2	male
NA19321	2	female
NA19338	2	female
NA19679	2	male
NA19681	2	female
NA19701	2	female
NA19713	2	female
NA19720	2	male
NA19725	2	female
NA19732	2	male
NA19770	2	female
NA19782	2	female
NA19794	2	female
NA19472	2	female
NA19648	2	female
NA19749	2	female
NA19756	2	male
NA19655	2	male
NA19819	2	female
NA19908	2	male
NA19434	2	female
NA19439	2	female
NA19446	2	female
NA20544	2	male
NA20582	2	female
NA20587	2	female
NA20753	2	female
NA20758	2	male
NA20760	2	female
NA20359	2	female
NA20412	2	female
NA20506	2	female
NA20289	2	female
NA20291	2	male
NA20296	2	female
NA20804	2	female
NA20809	2	male
NA20811	2	male
NA20828	2	female
NA20513	2	male
NA20518	2	male
NA20520	2	male
NA20525	2	male
NA20532	2	male
NA19922	2	male
NA19984	2	male
NA20126	2	male
NA20342	2	male
NA20765	2	male
NA20772	2	female
NA20796	2	male
NA20897	2	male
NA20900	2	female
NA20905	2	male
NA21112	2	male
NA21117	2	male
NA21124	2	male
NA21097	2	female
NA21100	2	male
NA21105	2	male
NA20847	2	female
NA20854	2	female
NA20859	2	female
NA20861	2	male
NA20866	2	male
NA20878	2	female
NA20885	2	male
NA20892	2	female
NA21129	2	male
NA21143	2	female
NA21092	2	male
